,optimizer,base_neurons,layers,activation,loss,metric,eval_metric,Метрика R2
3102,AdaGrad,128,5,tanh,Huber,MeanAbsolutePercentageError,33.78280258178711,-0.7139499954628885
3103,AdaGrad,128,5,tanh,Huber,MAE,7.677210807800293,-0.5957819917162253
3104,AdaGrad,128,5,tanh,Huber,MSE,111.34064483642578,-0.5899639857419905
3105,AdaGrad,128,5,tanh,LogCosh,MeanAbsolutePercentageError,33.502838134765625,-0.68583639204017
3106,AdaGrad,128,5,tanh,LogCosh,MAE,7.43064022064209,-0.4970136800752898
3107,AdaGrad,128,5,tanh,LogCosh,MSE,100.084228515625,-0.42922044376243984
3108,AdaGrad,128,5,sigmoid,MAE,MeanAbsolutePercentageError,73.44779205322266,-3.9115950686759584
3109,AdaGrad,128,5,sigmoid,MAE,MAE,13.705114364624023,-2.655810983192377
3110,AdaGrad,128,5,sigmoid,MAE,MSE,298.744384765625,-3.266122457218004
3111,AdaGrad,128,5,sigmoid,MSE,MeanAbsolutePercentageError,67.40950012207031,-3.379125984549634
3112,AdaGrad,128,5,sigmoid,MSE,MAE,12.544121742248535,-2.199072517412281
3113,AdaGrad,128,5,sigmoid,MSE,MSE,225.16957092285156,-2.2154613296826904
3114,AdaGrad,128,5,sigmoid,Huber,MeanAbsolutePercentageError,58.891170501708984,-2.6657774932386316
3115,AdaGrad,128,5,sigmoid,Huber,MAE,13.813911437988281,-2.7006050575414995
3116,AdaGrad,128,5,sigmoid,Huber,MSE,324.6246337890625,-3.635696982120349
3117,AdaGrad,128,5,sigmoid,LogCosh,MeanAbsolutePercentageError,70.93827819824219,-3.6873596045772272
3118,AdaGrad,128,5,sigmoid,LogCosh,MAE,14.274385452270508,-2.89357874334301
3119,AdaGrad,128,5,sigmoid,LogCosh,MSE,297.6416320800781,-3.2503752100618195
3120,AdaGrad,128,6,linear,MAE,MeanAbsolutePercentageError,18.114543914794922,0.5858278968634545
3121,AdaGrad,128,6,linear,MAE,MAE,3.3502728939056396,0.5731497263783278
3122,AdaGrad,128,6,linear,MAE,MSE,27.831085205078125,0.6025671997355195
3123,AdaGrad,128,6,linear,MSE,MeanAbsolutePercentageError,16.859228134155273,0.6566945086884128
3124,AdaGrad,128,6,linear,MSE,MAE,3.301635265350342,0.65067033640528
3125,AdaGrad,128,6,linear,MSE,MSE,22.44135093688965,0.6795335632190971
3126,AdaGrad,128,6,linear,Huber,MeanAbsolutePercentageError,16.902708053588867,0.6054340734834547
3127,AdaGrad,128,6,linear,Huber,MAE,3.4926047325134277,0.5414972686913335
3128,AdaGrad,128,6,linear,Huber,MSE,28.768043518066406,0.5891872479691298
3129,AdaGrad,128,6,linear,LogCosh,MeanAbsolutePercentageError,17.51938247680664,0.5811597539557549
3130,AdaGrad,128,6,linear,LogCosh,MAE,3.666714668273926,0.48921492299247626
3131,AdaGrad,128,6,linear,LogCosh,MSE,29.874719619750977,0.5733837593911828
